"geoid","region_type","region_name","year","measure","value"
"51059_pd_a","planning district","Annandale","2019","pop_black",5412.0310205006
"51059_pd_a","planning district","Annandale","2019","pop_native",493.072164948453
"51059_pd_a","planning district","Annandale","2019","pop_AAPI",16546.7410864961
"51059_pd_a","planning district","Annandale","2019","pop_white",43114.2164421827
"51059_pd_a","planning district","Annandale","2019","pop_male",38664.5855903633
"51059_pd_a","planning district","Annandale","2019","pop_male0_4",2462.99044767736
"51059_pd_a","planning district","Annandale","2019","pop_male5_9",2278.46139182144
"51059_pd_a","planning district","Annandale","2019","pop_male10_14",2475.39395782511
"51059_pd_a","planning district","Annandale","2019","pop_male15_17",1573.7025931131
"51059_pd_a","planning district","Annandale","2019","pop_female",39286.4257808542
"51059_pd_a","planning district","Annandale","2019","pop_female0_4",2565.84493036439
"51059_pd_a","planning district","Annandale","2019","pop_female5_9",2516.37908489739
"51059_pd_a","planning district","Annandale","2019","pop_female10_14",2370.14118750911
"51059_pd_a","planning district","Annandale","2019","pop_female15_17",1279.14917529876
"51059_pd_a","planning district","Annandale","2019","perc_black",0.0526076397441726
"51059_pd_a","planning district","Annandale","2019","perc_native",0.198888114106051
"51059_pd_a","planning district","Annandale","2019","perc_AAPI",0.08454997506035
"51059_pd_a","planning district","Annandale","2019","perc_white",0.0664316255481613
"51059_pd_a","planning district","Annandale","2019","perc_male",0.0740872640696435
"51059_pd_a","planning district","Annandale","2019","perc_male0_4",0.0705326608605588
"51059_pd_a","planning district","Annandale","2019","perc_male5_9",0.0633716286411987
"51059_pd_a","planning district","Annandale","2019","perc_male10_14",0.0693271453526522
"51059_pd_a","planning district","Annandale","2019","perc_male15_17",0.0739550755567987
"51059_pd_a","planning district","Annandale","2019","perc_female",0.0740981851136186
"51059_pd_a","planning district","Annandale","2019","perc_female0_4",0.0770331669027059
"51059_pd_a","planning district","Annandale","2019","perc_female5_9",0.0744063672470241
"51059_pd_a","planning district","Annandale","2019","perc_female10_14",0.0691742334748407
"51059_pd_a","planning district","Annandale","2019","perc_female15_17",0.0617097645567645
"51059_pd_b","planning district","Baileys","2019","pop_black",5489.3857386913
"51059_pd_b","planning district","Baileys","2019","pop_native",41.014272970562
"51059_pd_b","planning district","Baileys","2019","pop_AAPI",6951.16201691943
"51059_pd_b","planning district","Baileys","2019","pop_white",24364.1989880515
"51059_pd_b","planning district","Baileys","2019","pop_male",22122.6869836401
"51059_pd_b","planning district","Baileys","2019","pop_male0_4",1644.28685796717
"51059_pd_b","planning district","Baileys","2019","pop_male5_9",1598.26334283272
"51059_pd_b","planning district","Baileys","2019","pop_male10_14",1048.43201787385
"51059_pd_b","planning district","Baileys","2019","pop_male15_17",685.662351124938
"51059_pd_b","planning district","Baileys","2019","pop_female",23130.2187649909
"51059_pd_b","planning district","Baileys","2019","pop_female0_4",1790.76088815935
"51059_pd_b","planning district","Baileys","2019","pop_female5_9",1199.66914474202
"51059_pd_b","planning district","Baileys","2019","pop_female10_14",1160.63425454031
"51059_pd_b","planning district","Baileys","2019","pop_female15_17",1002.20678005103
"51059_pd_b","planning district","Baileys","2019","perc_black",0.0533595661709933
"51059_pd_b","planning district","Baileys","2019","perc_native",0.0165437272318924
"51059_pd_b","planning district","Baileys","2019","perc_AAPI",0.0355188113537736
"51059_pd_b","planning district","Baileys","2019","perc_white",0.0375410590176363
"51059_pd_b","planning district","Baileys","2019","perc_male",0.0423904544032023
"51059_pd_b","planning district","Baileys","2019","perc_male0_4",0.047087445028396
"51059_pd_b","planning district","Baileys","2019","perc_male5_9",0.0444530468659236
"51059_pd_b","planning district","Baileys","2019","perc_male10_14",0.0293629216738396
"51059_pd_b","planning district","Baileys","2019","perc_male15_17",0.0322222325907121
"51059_pd_b","planning district","Baileys","2019","perc_female",0.0436259394358558
"51059_pd_b","planning district","Baileys","2019","perc_female0_4",0.0537631798196107
"51059_pd_b","planning district","Baileys","2019","perc_female5_9",0.0354728043538154
"51059_pd_b","planning district","Baileys","2019","perc_female10_14",0.0338739250326455
"51059_pd_b","planning district","Baileys","2019","perc_female15_17",0.0483492821857131
"51059_pd_br","planning district","Bull Run","2019","pop_black",8621.20867942551
"51059_pd_br","planning district","Bull Run","2019","pop_native",241.117021276596
"51059_pd_br","planning district","Bull Run","2019","pop_AAPI",35178.3930963459
"51059_pd_br","planning district","Bull Run","2019","pop_white",65923.0713180729
"51059_pd_br","planning district","Bull Run","2019","pop_male",58762.4356543578
"51059_pd_br","planning district","Bull Run","2019","pop_male0_4",3832.8357225942
"51059_pd_br","planning district","Bull Run","2019","pop_male5_9",3956.03581560095
"51059_pd_br","planning district","Bull Run","2019","pop_male10_14",4005.87082590781
"51059_pd_br","planning district","Bull Run","2019","pop_male15_17",2532.75391034988
"51059_pd_br","planning district","Bull Run","2019","pop_female",60205.4559025037
"51059_pd_br","planning district","Bull Run","2019","pop_female0_4",3193.13812669762
"51059_pd_br","planning district","Bull Run","2019","pop_female5_9",4592.9013480349
"51059_pd_br","planning district","Bull Run","2019","pop_female10_14",4023.96546539127
"51059_pd_br","planning district","Bull Run","2019","pop_female15_17",2330.5704913782
"51059_pd_br","planning district","Bull Run","2019","perc_black",0.0838024465581499
"51059_pd_br","planning district","Bull Run","2019","perc_native",0.0972581967704141
"51059_pd_br","planning district","Bull Run","2019","perc_AAPI",0.179753357075649
"51059_pd_br","planning district","Bull Run","2019","perc_white",0.101576165594006
"51059_pd_br","planning district","Bull Run","2019","perc_male",0.112597821009232
"51059_pd_br","planning district","Bull Run","2019","perc_male0_4",0.109760921895132
"51059_pd_br","planning district","Bull Run","2019","perc_male5_9",0.11003058182045
"51059_pd_br","planning district","Bull Run","2019","perc_male10_14",0.112190460889571
"51059_pd_br","planning district","Bull Run","2019","perc_male15_17",0.119025035369718
"51059_pd_br","planning district","Bull Run","2019","perc_female",0.113553598415858
"51059_pd_br","planning district","Bull Run","2019","perc_female0_4",0.0958660982767806
"51059_pd_br","planning district","Bull Run","2019","perc_female5_9",0.135806686076145
"51059_pd_br","planning district","Bull Run","2019","perc_female10_14",0.117442255366318
"51059_pd_br","planning district","Bull Run","2019","perc_female15_17",0.112433294789328
